STATEFP,COUNTYFP,GEOID
37,71,37071031600
37,71,37071031800
37,71,37071032000
37,71,37071032301
37,71,37071031001
37,71,37071031301
37,71,37071031500
37,71,37071030700
37,71,37071033202
37,119,37119002701
37,119,37119005404
37,119,37119005403
37,119,37119005519
37,119,37119005516
37,119,37119005515
37,97,37097060200
37,97,37097060601
37,159,37159050904
37,159,37159051501
37,25,37025042300
37,119,37119004303
37,97,37097060500
37,25,37025042202
37,25,37025042201
37,25,37025040502
37,25,37025041306
37,25,37025040501
37,25,37025041201
37,25,37025041002
37,25,37025041604
37,25,37025040704
37,25,37025040705
37,25,37025041506
37,25,37025041305
37,25,37025041202
37,25,37025041504
37,25,37025041505
37,25,37025041603
37,25,37025041001
37,25,37025041304
37,25,37025041307
37,25,37025041507
37,119,37119005307
37,119,37119005306
37,119,37119001508
37,119,37119005613
37,119,37119001510
37,119,37119005308
37,119,37119001919
37,119,37119001914
37,119,37119001918
37,119,37119001916
37,119,37119005621
37,119,37119002905
37,71,37071032506
37,71,37071032703
37,119,37119005829
37,119,37119005839
37,119,37119003018
37,119,37119003807
37,71,37071032704
37,71,37071033203
37,71,37071033204
37,71,37071031101
37,71,37071030205
37,71,37071030401
37,97,37097061103
37,119,37119006220
37,119,37119006114
37,119,37119004101
37,119,37119005405
37,119,37119004102
37,119,37119000402
37,119,37119005868
37,119,37119005531
37,119,37119000501
37,119,37119006110
37,119,37119005625
37,119,37119000503
37,119,37119002908
37,119,37119001925
37,119,37119005623
37,119,37119005919
37,119,37119006111
37,119,37119005536
37,119,37119006012
37,119,37119006410
37,119,37119005528
37,119,37119006217
37,119,37119005854
37,119,37119006015
37,119,37119006011
37,119,37119005851
37,119,37119005533
37,119,37119005849
37,119,37119005866
37,119,37119005850
37,119,37119005720
37,119,37119005852
37,119,37119005932
37,119,37119005863
37,119,37119002006
37,119,37119005925
37,119,37119005626
37,119,37119005527
37,119,37119005526
37,119,37119005920
37,119,37119006016
37,119,37119005530
37,119,37119006409
37,119,37119004307
37,119,37119005928
37,119,37119003019
37,119,37119005624
37,119,37119006305
37,119,37119000102
37,119,37119000101
37,119,37119005858
37,119,37119003811
37,119,37119005529
37,119,37119003110
37,119,37119005924
37,119,37119005922
37,119,37119003301
37,119,37119002907
37,119,37119006411
37,119,37119005926
37,119,37119003022
37,119,37119005862
37,119,37119005856
37,119,37119006307
37,119,37119006311
37,119,37119005723
37,119,37119005525
37,119,37119005722
37,119,37119006219
37,119,37119006218
37,119,37119006216
37,119,37119006309
37,119,37119003702
37,119,37119000401
37,119,37119002909
37,119,37119006014
37,119,37119001927
37,119,37119006013
37,119,37119006221
37,119,37119006222
37,119,37119003302
37,119,37119003402
37,119,37119002202
37,119,37119002005
37,119,37119002201
37,119,37119003021
37,119,37119003810
37,119,37119003020
37,119,37119002910
37,97,37097061204
37,119,37119005719
37,119,37119005860
37,119,37119005855
37,119,37119005929
37,119,37119005718
37,119,37119005931
37,119,37119005627
37,119,37119005867
37,119,37119005930
37,119,37119005865
37,119,37119006408
37,119,37119005927
37,119,37119005923
37,119,37119004306
37,119,37119006113
37,119,37119003809
37,119,37119000502
37,119,37119005857
37,119,37119005622
37,119,37119006115
37,119,37119000104
37,119,37119003401
37,119,37119003701
37,119,37119003111
37,119,37119006310
37,119,37119005535
37,119,37119001924
37,119,37119005853
37,119,37119006308
37,119,37119006112
37,119,37119005859
37,119,37119006223
37,119,37119006224
37,119,37119005861
37,119,37119006306
