NPA,LOGRECNO,GEOID,NAME,GEOID2
2,16199,15000US371190017011,"Block Group 1, Census Tract 17.01, Mecklenburg County, North Carolina",371190017011
2,16207,15000US371190018013,"Block Group 3, Census Tract 18.01, Mecklenburg County, North Carolina",371190018013
3,16149,15000US371190003001,"Block Group 1, Census Tract 3, Mecklenburg County, North Carolina",371190003001
3,16151,15000US371190004002,"Block Group 2, Census Tract 4, Mecklenburg County, North Carolina",371190004002
3,16345,15000US371190034002,"Block Group 2, Census Tract 34, Mecklenburg County, North Carolina",371190034002
3,16346,15000US371190034003,"Block Group 3, Census Tract 34, Mecklenburg County, North Carolina",371190034003
3,16347,15000US371190034004,"Block Group 4, Census Tract 34, Mecklenburg County, North Carolina",371190034004
3,16348,15000US371190035001,"Block Group 1, Census Tract 35, Mecklenburg County, North Carolina",371190035001
3,16349,15000US371190035002,"Block Group 2, Census Tract 35, Mecklenburg County, North Carolina",371190035002
4,16279,15000US371190029031,"Block Group 1, Census Tract 29.03, Mecklenburg County, North Carolina",371190029031
5,16382,15000US371190042001,"Block Group 1, Census Tract 42, Mecklenburg County, North Carolina",371190042001
6,16384,15000US371190042003,"Block Group 3, Census Tract 42, Mecklenburg County, North Carolina",371190042003
6,16385,15000US371190042004,"Block Group 4, Census Tract 42, Mecklenburg County, North Carolina",371190042004
7,16280,15000US371190029032,"Block Group 2, Census Tract 29.03, Mecklenburg County, North Carolina",371190029032
8,16320,15000US371190031021,"Block Group 1, Census Tract 31.02, Mecklenburg County, North Carolina",371190031021
9,16172,15000US371190013003,"Block Group 3, Census Tract 13, Mecklenburg County, North Carolina",371190013003
10,16170,15000US371190013001,"Block Group 1, Census Tract 13, Mecklenburg County, North Carolina",371190013001
10,16171,15000US371190013002,"Block Group 2, Census Tract 13, Mecklenburg County, North Carolina",371190013002
11,16340,15000US371190032043,"Block Group 3, Census Tract 32.04, Mecklenburg County, North Carolina",371190032043
11,16344,15000US371190034001,"Block Group 1, Census Tract 34, Mecklenburg County, North Carolina",371190034001
12,16330,15000US371190031081,"Block Group 1, Census Tract 31.08, Mecklenburg County, North Carolina",371190031081
12,16333,15000US371190031092,"Block Group 2, Census Tract 31.09, Mecklenburg County, North Carolina",371190031092
13,16335,15000US371190032012,"Block Group 2, Census Tract 32.01, Mecklenburg County, North Carolina",371190032012
13,16336,15000US371190032031,"Block Group 1, Census Tract 32.03, Mecklenburg County, North Carolina",371190032031
14,16463,15000US371190055221,"Block Group 1, Census Tract 55.22, Mecklenburg County, North Carolina",371190055221
14,16464,15000US371190055222,"Block Group 2, Census Tract 55.22, Mecklenburg County, North Carolina",371190055222
15,16250,15000US371190020033,"Block Group 3, Census Tract 20.03, Mecklenburg County, North Carolina",371190020033
15,16251,15000US371190020034,"Block Group 4, Census Tract 20.03, Mecklenburg County, North Carolina",371190020034
16,16230,15000US371190019181,"Block Group 1, Census Tract 19.18, Mecklenburg County, North Carolina",371190019181
16,16231,15000US371190019182,"Block Group 2, Census Tract 19.18, Mecklenburg County, North Carolina",371190019182
16,16234,15000US371190019192,"Block Group 2, Census Tract 19.19, Mecklenburg County, North Carolina",371190019192
16,16235,15000US371190019193,"Block Group 3, Census Tract 19.19, Mecklenburg County, North Carolina",371190019193
17,16187,15000US371190015101,"Block Group 1, Census Tract 15.10, Mecklenburg County, North Carolina",371190015101
17,16188,15000US371190015102,"Block Group 2, Census Tract 15.10, Mecklenburg County, North Carolina",371190015102
18,16258,15000US371190022001,"Block Group 1, Census Tract 22, Mecklenburg County, North Carolina",371190022001
18,16261,15000US371190022004,"Block Group 4, Census Tract 22, Mecklenburg County, North Carolina",371190022004
19,16326,15000US371190031051,"Block Group 1, Census Tract 31.05, Mecklenburg County, North Carolina",371190031051
19,16327,15000US371190031052,"Block Group 2, Census Tract 31.05, Mecklenburg County, North Carolina",371190031052
