GEOID2,NAME,NPA
371190017011,Block Group 1,2
371190018013,Block Group 3,2
371190004011,Block Group 1,3
371190034023,Block Group 3,3
371190003022,Block Group 2,3
371190003021,Block Group 1,3
371190034012,Block Group 2,3
371190034022,Block Group 2,3
371190034011,Block Group 1,3
371190035001,Block Group 1,3
371190035002,Block Group 2,3
371190003011,Block Group 1,3
371190029031,Block Group 1,4
371190042001,Block Group 1,5
371190042003,Block Group 3,6
371190042004,Block Group 4,6
371190029032,Block Group 2,7
371190031021,Block Group 1,8
371190013003,Block Group 3,9
371190013001,Block Group 1,10
371190013002,Block Group 2,10
371190034021,Block Group 1,11
371190032043,Block Group 3,11
371190031081,Block Group 1,12
371190031092,Block Group 2,12
371190032031,Block Group 1,13
371190032012,Block Group 2,13
371190055222,Block Group 2,14
371190055221,Block Group 1,14
371190020082,Block Group 2,15
371190020083,Block Group 3,15
371190019181,Block Group 1,16
371190019193,Block Group 3,16
371190019182,Block Group 2,16
371190019192,Block Group 2,16
371190015101,Block Group 1,17
371190015102,Block Group 2,17
371190022022,Block Group 2,18
371190022011,Block Group 1,18
371190031051,Block Group 1,19
371190031052,Block Group 2,19
371190058612,Block Group 2,20
371190058611,Block Group 1,20
371190053011,Block Group 1,21
371190007001,Block Group 1,22
371190007002,Block Group 2,22
371190020072,Block Group 2,23
371190032011,Block Group 1,24
371190058172,Block Group 2,25
371190056211,Block Group 1,26
371190057162,Block Group 2,27
371190022021,Block Group 1,28
371190058171,Block Group 1,29
371190037022,Block Group 2,30
371190037021,Block Group 1,30
371190030061,Block Group 1,31
371190058532,Block Group 2,32
371190055351,Block Group 1,33
371190060111,Block Group 1,34
371190059191,Block Group 1,35
371190058112,Block Group 2,36
371190058113,Block Group 3,36
371190008001,Block Group 1,37
371190055081,Block Group 1,38
371190015081,Block Group 1,39
371190015041,Block Group 1,40
371190058301,Block Group 1,41
371190030062,Block Group 2,42
371190030192,Block Group 2,43
371190030211,Block Group 1,44
371190059211,Block Group 1,45
371190059221,Block Group 1,45
371190056102,Block Group 2,46
371190020052,Block Group 2,47
371190056161,Block Group 1,48
371190061112,Block Group 2,49
371190019241,Block Group 1,50
371190041022,Block Group 2,51
371190019141,Block Group 1,52
371190038072,Block Group 2,53
371190038101,Block Group 1,54
371190030083,Block Group 3,55
371190058152,Block Group 2,56
371190019191,Block Group 1,57
371190019103,Block Group 3,58
371190019231,Block Group 1,59
371190056091,Block Group 1,60
371190056092,Block Group 2,60
371190056101,Block Group 1,61
371190056042,Block Group 2,62
371190056043,Block Group 3,62
371190056232,Block Group 2,64
371190056221,Block Group 1,64
371190056222,Block Group 2,64
371190055342,Block Group 2,65
371190055341,Block Group 1,66
371190055343,Block Group 3,66
371190055321,Block Group 1,67
371190059301,Block Group 1,68
371190029052,Block Group 2,69
371190046001,Block Group 1,70
371190038082,Block Group 2,71
371190038083,Block Group 3,71
371190061132,Block Group 2,72
371190061122,Block Group 2,72
371190060051,Block Group 1,73
371190060052,Block Group 2,73
371190058283,Block Group 3,74
371190058571,Block Group 1,75
371190059251,Block Group 1,76
371190059101,Block Group 1,77
371190059102,Block Group 2,77
371190059321,Block Group 1,78
371190038081,Block Group 1,79
371190055322,Block Group 2,80
371190059292,Block Group 2,81
371190059291,Block Group 1,82
371190059201,Block Group 1,83
371190059202,Block Group 2,84
371190046002,Block Group 2,85
371190017012,Block Group 2,86
371190012002,Block Group 2,87
371190045002,Block Group 2,88
371190019111,Block Group 1,89
371190016051,Block Group 1,90
371190019113,Block Group 3,91
371190059151,Block Group 1,92
371190059152,Block Group 2,92
371190059161,Block Group 1,93
371190059162,Block Group 2,94
371190059132,Block Group 2,95
371190059272,Block Group 2,96
371190059271,Block Group 1,96
371190059311,Block Group 1,97
371190059312,Block Group 2,97
371190056261,Block Group 1,98
371190019142,Block Group 2,99
371190015092,Block Group 2,100
371190053081,Block Group 1,101
371190015072,Block Group 2,102
371190053072,Block Group 2,103
371190031062,Block Group 2,105
371190031023,Block Group 3,106
371190057231,Block Group 1,107
371190057232,Block Group 2,108
371190061031,Block Group 1,109
371190061032,Block Group 2,110
371190059231,Block Group 1,111
371190059232,Block Group 2,111
